City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Anyuan,Jiangsu,China,33.76,119.38,Asia/Shanghai,1699737583,2023-11-12 5:19,1699737300,2023-11-12 05:15,4.1,39.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.8,15.8,343,NNW,1034.0,30.53,0.0,0.0,66,3,0.5,33.0,10.0,6.0,1.0,15.0,24.2
Anzhou,Hebei,China,38.87,115.82,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,-1.4,29.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.6,5.8,11,NNE,1036.0,30.6,0.0,0.0,41,0,-3.6,25.6,10.0,6.0,1.0,7.5,12.1
Aral,Qyzylorda,Kazakhstan,46.8,61.67,Asia/Qyzylorda,1699737584,2023-11-12 2:19,1699737300,2023-11-12 02:15,6.2,43.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,18.6,29.9,275,W,1021.0,30.16,0.0,0.0,70,96,1.6,35.0,10.0,6.0,1.0,26.2,42.2
Baiceng,Guizhou,China,25.43,105.8,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,15.8,60.5,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,4.7,7.6,25,NNE,1019.0,30.1,0.47,0.02,94,100,15.8,60.5,10.0,6.0,1.0,6.2,10.0
Baicheng,Jilin,China,45.62,122.82,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,-9.0,15.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.5,10.4,342,NNW,1033.0,30.5,0.0,0.0,53,24,-14.2,6.5,10.0,6.0,1.0,12.4,19.9
Baicheng,Jilin,China,45.62,122.82,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,-9.0,15.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.5,10.4,342,NNW,1033.0,30.5,0.0,0.0,53,24,-14.2,6.5,10.0,6.0,1.0,12.4,19.9
Baicheng,Jilin,China,45.62,122.82,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,-9.0,15.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.5,10.4,342,NNW,1033.0,30.5,0.0,0.0,53,24,-14.2,6.5,10.0,6.0,1.0,12.4,19.9
Baichigan,Hebei,China,39.53,115.91,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,1.0,33.8,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,16.1,25.9,320,NW,1036.0,30.59,0.0,0.0,25,0,-0.3,31.4,10.0,6.0,1.0,6.1,9.8
Baigou,Guangdong,China,23.51,111.63,Asia/Shanghai,1699737584,2023-11-12 5:19,1699737300,2023-11-12 05:15,17.0,62.5,0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,5.4,8.6,3,N,1021.0,30.14,0.1,0.0,94,100,17.0,62.5,2.0,1.0,1.0,7.4,11.9
Baiheqiao,Yunnan,China,22.97,103.8,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,17.7,63.9,0,Fog,//cdn.weatherapi.com/weather/64x64/night/248.png,2.2,3.6,117,ESE,1017.0,30.04,0.07,0.0,98,100,17.7,63.9,0.0,0.0,1.0,3.1,5.0
Baijiantan,Xinjiang,China,45.63,85.18,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,3.5,38.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.5,13.7,52,NE,1035.0,30.55,0.0,0.0,79,97,0.1,32.1,10.0,6.0,1.0,12.6,20.2
Bailin,Hunan,China,26.34,113.28,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,7.5,45.5,0,Mist,//cdn.weatherapi.com/weather/64x64/night/143.png,4.7,7.6,325,NW,1030.0,30.41,0.06,0.0,96,100,6.2,43.1,2.0,1.0,1.0,5.4,8.7
Baiquan,Heilongjiang,China,47.58,126.08,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,-17.9,-0.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.4,5.4,307,NW,1031.0,30.45,0.0,0.0,93,2,-22.2,-7.9,10.0,6.0,1.0,7.0,11.3
Baisha,Hunan,China,26.16,112.68,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,7.2,44.9,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,7.6,12.2,349,N,1031.0,30.43,0.05,0.0,93,100,4.8,40.7,10.0,6.0,1.0,9.7,15.6
Baishaling,Jiangxi,China,29.08,114.03,Asia/Shanghai,1699737542,2023-11-12 5:19,1699737300,2023-11-12 05:15,5.5,41.9,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,6.7,10.8,19,NNE,1032.0,30.49,0.03,0.0,94,100,3.1,37.5,10.0,6.0,1.0,9.3,14.9
Baishan,Beijing,China,40.16,116.32,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,1.0,33.8,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,16.1,25.9,320,NW,1036.0,30.59,0.0,0.0,25,0,-2.6,27.2,10.0,6.0,1.0,11.0,17.7
Baishi,Zhejiang,China,28.83,118.41,Asia/Shanghai,1699737585,2023-11-12 5:19,1699737300,2023-11-12 05:15,11.4,52.5,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,4.7,7.6,24,NNE,1028.0,30.36,0.12,0.0,93,100,10.7,51.3,10.0,6.0,1.0,7.1,11.4
Baiyan,Fujian,China,25.93,119.13,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,17.0,62.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,360,N,1023.0,30.21,0.0,0.0,88,100,17.0,62.6,10.0,6.0,1.0,4.7,7.6
Baiyin,Gansu,China,36.56,104.21,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,-3.7,25.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,84,E,1039.0,30.68,0.0,0.0,39,4,-4.7,23.6,10.0,6.0,1.0,3.4,5.4
Bajiao,Sichuan,China,31.18,105.62,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,11.7,53.0,0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,15.0,24.1,7,N,1026.0,30.29,1.37,0.05,79,99,9.1,48.5,9.0,5.0,1.0,18.9,30.4
Bamei,Xizang,中国,30.3,96.02,Asia/Shanghai,1699737587,2023-11-12 5:19,1699737300,2023-11-12 05:15,-9.4,15.0,0,Patchy light snow,//cdn.weatherapi.com/weather/64x64/night/323.png,6.9,11.2,207,SSW,1026.0,30.28,0.02,0.0,80,88,-15.0,5.1,10.0,6.0,1.0,14.4,23.1
Bamiantong,Heilongjiang,China,44.93,130.53,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,-21.4,-6.6,0,Freezing fog,//cdn.weatherapi.com/weather/64x64/night/260.png,4.5,7.2,222,SW,1032.0,30.47,0.0,0.0,100,10,-27.4,-17.4,0.0,0.0,1.0,9.4,15.1
Bangshang,Fujian,China,25.82,119.54,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,17.0,62.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,360,N,1023.0,30.21,0.01,0.0,88,100,17.0,62.6,10.0,6.0,1.0,10.3,16.6
Bangzha,Guizhou,China,24.83,104.67,Asia/Shanghai,1699737586,2023-11-12 5:19,1699737300,2023-11-12 05:15,15.5,59.8,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,2.7,4.3,62,ENE,1018.0,30.07,0.6,0.02,95,80,15.5,59.8,10.0,6.0,1.0,4.4,7.1
Banqiao,Hunan,China,26.28,112.41,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,7.1,44.7,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,6.7,10.8,26,NNE,1031.0,30.44,0.07,0.0,88,100,5.0,41.0,10.0,6.0,1.0,9.2,14.9
Baocheng,Hainan,China,18.64,109.7,Asia/Shanghai,1699737587,2023-11-12 5:19,1699737300,2023-11-12 05:15,26.0,78.8,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/night/302.png,4.3,6.8,80,E,1014.0,29.94,0.0,0.0,89,75,30.6,87.0,10.0,6.0,1.0,4.2,6.7
Baoding,Hebei,China,38.85,115.49,Asia/Shanghai,1699737587,2023-11-12 5:19,1699737300,2023-11-12 05:15,-1.4,29.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.8,6.1,6,N,1036.0,30.6,0.0,0.0,40,0,-3.7,25.3,10.0,6.0,1.0,8.0,12.9
Baohe,Anhui,China,30.55,118.05,Asia/Shanghai,1699737587,2023-11-12 5:19,1699737300,2023-11-12 05:15,8.6,47.4,0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,6.5,10.4,4,N,1032.0,30.49,0.43,0.02,95,100,6.9,44.3,2.0,1.0,1.0,7.8,12.6
Baoshan,Heilongjiang,China,46.56,131.42,Asia/Shanghai,1699737587,2023-11-12 5:19,1699737300,2023-11-12 05:15,-14.7,5.5,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.4,15.1,254,WSW,1027.0,30.33,0.0,0.0,86,3,-22.6,-8.7,10.0,6.0,1.0,19.7,31.8
Baotou,Hainan,China,18.33,109.53,Asia/Shanghai,1699737544,2023-11-12 5:19,1699737300,2023-11-12 05:15,26.0,78.8,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/night/302.png,4.3,6.8,80,E,1014.0,29.94,0.0,0.0,89,75,29.7,85.5,10.0,6.0,1.0,9.2,14.8
Basuo,Hainan,China,19.11,108.63,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,25.4,77.7,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.1,8.3,80,E,1015.0,29.96,0.0,0.0,86,32,28.1,82.6,10.0,6.0,1.0,8.4,13.5
Bayan,Heilongjiang,China,46.08,127.4,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,-23.4,-10.2,0,Freezing fog,//cdn.weatherapi.com/weather/64x64/night/260.png,3.6,5.8,249,WSW,1033.0,30.5,0.0,0.0,100,10,-28.8,-19.8,0.0,0.0,1.0,7.5,12.1
Bayan Hot,Nei Mongol,China,38.84,105.67,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,-5.9,21.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.6,5.8,28,NNE,1043.0,30.8,0.0,0.0,26,4,-8.7,16.3,10.0,6.0,1.0,5.9,9.5
Bazhou,Qinghai,China,36.2,102.73,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,-2.8,27.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,191,SSW,1037.0,30.63,0.0,0.0,46,12,-2.8,27.0,10.0,6.0,1.0,0.5,0.8
Bazhou,Qinghai,China,36.2,102.73,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,-2.8,27.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,191,SSW,1037.0,30.63,0.0,0.0,46,12,-2.8,27.0,10.0,6.0,1.0,0.5,0.8
Beian,Heilongjiang,China,48.27,126.6,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,-20.5,-5.0,0,Freezing fog,//cdn.weatherapi.com/weather/64x64/night/260.png,3.8,6.1,303,WNW,1031.0,30.45,0.0,0.0,97,4,-25.7,-14.3,0.0,0.0,1.0,8.0,12.9
Beidao,Gansu,China,34.57,105.89,Asia/Shanghai,1699737588,2023-11-12 5:19,1699737300,2023-11-12 05:15,-4.8,23.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.1,8.3,74,ENE,1038.0,30.67,0.0,0.0,56,3,-8.5,16.7,10.0,6.0,1.0,9.8,15.7
Beihai,Guangxi,China,21.48,109.1,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,24.6,76.2,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,13.4,21.6,74,ENE,1016.0,30.01,1.46,0.06,89,71,27.0,80.7,10.0,6.0,1.0,22.4,36.1
Beijing,Beijing,China,39.93,116.39,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,1.0,33.8,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,16.1,25.9,320,NW,1036.0,30.59,0.0,0.0,25,0,-3.0,26.6,10.0,6.0,1.0,13.0,21.0
Beining,Liaoning,China,41.6,121.79,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,-5.4,22.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.8,6.1,333,NNW,1034.0,30.54,0.0,0.0,59,22,-8.3,17.0,10.0,6.0,1.0,6.1,9.8
Beipiao,Liaoning,China,41.79,120.78,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,-9.4,15.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.7,4.3,336,NNW,1035.0,30.57,0.0,0.0,79,46,-11.8,10.7,10.0,6.0,1.0,5.6,9.1
Beiwanglizhen,Hebei,China,37.76,114.61,Asia/Shanghai,1699737546,2023-11-12 5:19,1699737300,2023-11-12 05:15,-2.0,28.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,290,WNW,1035.0,30.56,0.0,0.0,93,0,-3.3,26.1,6.0,3.0,1.0,4.8,7.7
Beixinzhuang,Tianjin,China,39.52,117.08,Asia/Shanghai,1699737590,2023-11-12 5:19,1699737300,2023-11-12 05:15,-1.0,30.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,330,NNW,1036.0,30.59,0.0,0.0,43,0,-5.3,22.4,10.0,6.0,1.0,17.1,27.5
Beiya,Yunnan,China,26.15,100.18,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,3.8,38.8,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,3.4,5.4,291,WNW,1023.0,30.22,0.0,0.0,78,10,2.6,36.6,10.0,6.0,1.0,7.0,11.3
Bengbu,Anhui,China,32.94,117.36,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,4.8,40.6,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.5,10.4,335,NNW,1035.0,30.55,0.0,0.0,81,15,2.3,36.2,10.0,6.0,1.0,10.2,16.3
Benxi,Liaoning,China,41.29,123.77,Asia/Shanghai,1699737546,2023-11-12 5:19,1699737300,2023-11-12 05:15,-7.6,18.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,332,NNW,1034.0,30.52,0.0,0.0,73,21,-9.3,15.3,10.0,6.0,1.0,3.3,5.3
Biandanshan,Guizhou,China,26.05,105.58,Asia/Shanghai,1699737589,2023-11-12 5:19,1699737300,2023-11-12 05:15,10.9,51.7,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,10.1,16.2,53,NE,1022.0,30.18,0.03,0.0,92,100,8.9,48.1,10.0,6.0,1.0,13.7,22.0
Bianyang,Guizhou,China,25.62,106.63,Asia/Shanghai,1699737590,2023-11-12 5:19,1699737300,2023-11-12 05:15,15.1,59.1,0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,4.9,7.9,58,ENE,1021.0,30.16,0.66,0.03,92,100,15.1,59.1,2.0,1.0,1.0,5.7,9.1
Bijie,Guizhou,China,27.31,105.29,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,10.2,50.4,0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,2.9,4.7,52,NE,1022.0,30.17,0.54,0.02,94,100,10.1,50.2,2.0,1.0,1.0,4.6,7.5
Bikou,Sud,Cameroon,2.82,10.95,Africa/Douala,1699737590,2023-11-11 22:19,1699737300,2023-11-11 22:15,19.9,67.9,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,2.2,3.6,301,WNW,1014.0,29.95,1.25,0.05,99,97,19.9,67.9,10.0,6.0,1.0,1.7,2.8
Bingmei,Guizhou,China,25.75,108.91,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,8.8,47.8,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,4.9,7.9,356,N,1027.0,30.32,0.01,0.0,91,100,7.6,45.7,10.0,6.0,1.0,6.5,10.5
Binxian,Shaanxi,China,35.03,108.07,Asia/Shanghai,1699737590,2023-11-12 5:19,1699737300,2023-11-12 05:15,-1.1,30.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.7,7.6,356,N,1040.0,30.72,0.0,0.0,41,19,-3.9,24.9,10.0,6.0,1.0,8.3,13.3
Binzhou,Shandong,China,37.37,118.02,Asia/Shanghai,1699737547,2023-11-12 5:19,1699737300,2023-11-12 05:15,-0.4,31.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,7.6,12.2,318,NW,1036.0,30.58,0.0,0.0,35,0,-4.3,24.3,10.0,6.0,1.0,15.3,24.6
Boao,Hainan,China,19.16,110.59,Asia/Shanghai,1699737547,2023-11-12 5:19,1699737300,2023-11-12 05:15,23.8,74.8,0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/night/356.png,4.0,6.5,74,ENE,1016.0,29.99,2.74,0.11,95,81,26.3,79.3,7.0,4.0,1.0,7.4,11.9
Boleslawiec,,Poland,51.27,15.57,Europe/Warsaw,1699737591,2023-11-11 22:19,1699737300,2023-11-11 22:15,5.2,41.3,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,10.1,16.2,272,W,1007.0,29.72,0.01,0.0,81,100,1.8,35.2,10.0,6.0,1.0,15.3,24.7
Boli,Heilongjiang,China,45.77,130.52,Asia/Shanghai,1699737590,2023-11-12 5:19,1699737300,2023-11-12 05:15,-12.6,9.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,11.0,17.6,281,WNW,1029.0,30.37,0.0,0.0,83,3,-20.6,-5.1,10.0,6.0,1.0,18.5,29.8
Botou,Hebei,China,38.07,116.57,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,-1.1,30.1,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.4,8.6,7,N,1036.0,30.6,0.0,0.0,41,0,-4.2,24.5,10.0,6.0,1.0,11.0,17.7
Bozhou,Anhui,China,33.88,115.77,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,1.8,35.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.6,9.0,2,N,1036.0,30.59,0.0,0.0,68,22,-0.9,30.5,10.0,6.0,1.0,10.2,16.5
Caiguantun,Guizhou,China,26.33,105.98,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,10.9,51.6,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,10.1,16.2,53,NE,1022.0,30.18,0.03,0.0,93,100,8.9,48.0,10.0,6.0,1.0,13.6,21.9
Cangzhou,Hebei,China,38.32,116.87,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,-1.2,29.8,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.5,10.4,3,N,1036.0,30.6,0.0,0.0,37,0,-4.9,23.2,10.0,6.0,1.0,13.0,20.9
Caojiachuan,Shanxi,China,34.9,111.5,Asia/Shanghai,1699737548,2023-11-12 5:19,1699737300,2023-11-12 05:15,1.2,34.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.4,15.1,289,WNW,1038.0,30.64,0.0,0.0,43,0,-3.0,26.7,10.0,6.0,1.0,17.3,27.9
Caotan,Hunan,China,28.54,110.14,Asia/Shanghai,1699737591,2023-11-12 5:19,1699737300,2023-11-12 05:15,5.8,42.5,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/night/176.png,5.8,9.4,61,ENE,1033.0,30.51,0.06,0.0,91,100,3.8,38.8,10.0,6.0,1.0,7.0,11.3
Cencheng,Guangxi,China,22.92,110.98,Asia/Shanghai,1699737592,2023-11-12 5:19,1699737300,2023-11-12 05:15,21.4,70.6,0,Light rain,//cdn.weatherapi.com/weather/64x64/night/296.png,4.9,7.9,21,NNE,1019.0,30.08,1.91,0.08,95,100,21.4,70.6,9.0,5.0,1.0,6.9,11.1
Ceyu,Hebei,China,37.79,114.09,Asia/Shanghai,1699737592,2023-11-12 5:19,1699737300,2023-11-12 05:15,-3.7,25.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,274,W,1037.0,30.61,0.0,0.0,44,0,-6.7,20.0,10.0,6.0,1.0,8.9,14.4
Chahe,Yunnan,China,25.26,101.22,Asia/Shanghai,1699737592,2023-11-12 5:19,1699737300,2023-11-12 05:15,8.7,47.6,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,322,NW,1019.0,30.1,0.0,0.0,87,11,8.7,47.6,10.0,6.0,1.0,3.8,6.0
