City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Borlange,Dalarnas Lan,Sweden,60.48,15.42,Europe/Stockholm,1699818781,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,9.4,15.1,310,NW,1008.0,29.77,0.0,0.0,93,100,-4.8,23.3,10.0,6.0,1.0,10.0,16.1
Brevik,Akershus,Norway,59.75,10.71,Europe/Oslo,1699818738,2023-11-12 20:52,1699818300,2023-11-12 20:45,8.0,46.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,16.1,25.9,180,S,1006.0,29.71,0.0,0.0,71,50,7.1,44.9,2.0,1.0,1.0,8.0,12.9
Bunkeflostrand,Skane Lan,Sweden,55.53,12.95,Europe/Stockholm,1699818780,2023-11-12 20:53,1699818300,2023-11-12 20:45,6.0,42.8,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,5.6,9.0,90,E,1007.0,29.74,0.09,0.0,87,100,2.9,37.2,10.0,6.0,1.0,14.1,22.7
Ekero,Stockholms Lan,Sweden,59.27,17.73,Europe/Stockholm,1699818781,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,10.5,16.9,320,NW,1006.0,29.71,0.09,0.0,100,75,-0.9,30.4,10.0,6.0,1.0,14.3,23.0
Eksjo,Jonkopings Lan,Sweden,57.67,14.95,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,40,NE,1007.0,29.74,0.0,0.0,100,100,0.6,33.1,10.0,6.0,1.0,7.4,12.0
Enkoping,Uppsala Lan,Sweden,59.63,17.07,Europe/Stockholm,1699818781,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,11.9,19.1,350,N,1008.0,29.77,0.01,0.0,87,100,-2.0,28.3,10.0,6.0,1.0,13.3,21.4
Eskilstuna,Sodermanlands Lan,Sweden,59.37,16.5,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,11.9,19.1,350,N,1008.0,29.77,0.03,0.0,87,100,-1.4,29.6,10.0,6.0,1.0,10.3,16.6
Eslov,Skane Lan,Sweden,55.83,13.33,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.5,4.0,80,E,1007.0,29.74,0.64,0.03,100,25,1.5,34.8,10.0,6.0,1.0,9.4,15.1
Fagersta,Vastmanlands Lan,Sweden,60.0,15.78,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,9.4,15.1,310,NW,1008.0,29.77,0.0,0.0,93,100,-5.1,22.9,10.0,6.0,1.0,12.2,19.6
Falkenberg,Hallands Lan,Sweden,56.9,12.5,Europe/Stockholm,1699818781,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.2,3.6,10,N,1007.0,29.74,0.0,0.0,100,75,1.3,34.3,9.0,5.0,1.0,11.3,18.2
Falkoping,Vastra Gotaland,Sweden,58.17,13.55,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,40,NE,1007.0,29.74,0.0,0.0,100,100,1.4,34.5,10.0,6.0,1.0,5.7,9.1
Falun,Dalarnas Lan,Sweden,60.6,15.63,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,9.4,15.1,310,NW,1008.0,29.77,0.0,0.0,93,100,-4.8,23.3,10.0,6.0,1.0,9.3,15.0
Filipstad,Varmlands Lan,Sweden,59.72,14.17,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,0.0,32.0,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.1,13.0,360,N,1009.0,29.8,0.0,0.0,93,100,-3.4,25.8,10.0,6.0,1.0,8.2,13.2
Finspang,Ostergotlands Lan,Sweden,58.72,15.78,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,300,WNW,1007.0,29.74,0.0,0.0,93,100,-0.7,30.8,10.0,6.0,1.0,7.6,12.2
Gagnef,Dalarnas Lan,Sweden,60.58,15.07,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,9.4,15.1,310,NW,1008.0,29.77,0.0,0.0,93,100,-4.4,24.0,10.0,6.0,1.0,7.7,12.3
Gavle,Gavleborgs Lan,Sweden,60.67,17.17,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.4,36.4,0,Moderate snow,//cdn.weatherapi.com/weather/64x64/night/332.png,13.0,20.9,349,N,1008.0,29.76,0.08,0.0,97,100,-2.3,27.9,5.0,3.0,1.0,18.1,29.2
Gislaved,Jonkopings Lan,Sweden,57.3,13.53,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,2.2,3.6,10,N,1007.0,29.74,0.04,0.0,100,100,1.4,34.5,10.0,6.0,1.0,6.0,9.6
Gothenburg,Vastra Gotaland,Sweden,57.72,11.97,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.0,0.0,93,75,1.5,34.8,10.0,6.0,1.0,10.5,17.0
Gustavsberg,Norrbottens Lan,Sweden,66.77,22.7,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,-11.0,12.1,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,3.6,5.8,15,NNE,1022.0,30.18,0.02,0.0,99,100,-14.6,5.7,10.0,6.0,1.0,5.6,9.1
Haboudange,Lorraine,France,48.88,6.62,Europe/Paris,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,7.0,44.6,0,Light drizzle,//cdn.weatherapi.com/weather/64x64/night/266.png,8.1,13.0,150,SSE,1009.0,29.8,0.0,0.0,100,75,6.8,44.2,7.0,4.0,1.0,3.6,5.7
Hagfors,Varmlands Lan,Sweden,60.03,13.65,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,-2.4,27.8,0,Cloudy,//cdn.weatherapi.com/weather/64x64/night/119.png,6.0,9.7,356,N,1011.0,29.86,0.0,0.0,89,67,-6.1,21.1,10.0,6.0,1.0,8.3,13.4
Hallstahammar,Vastmanlands Lan,Sweden,59.62,16.22,Europe/Stockholm,1699818782,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,11.9,19.1,350,N,1008.0,29.77,0.01,0.0,87,100,-1.4,29.6,10.0,6.0,1.0,10.6,17.1
Halmstad,Hallands Lan,Sweden,56.67,12.86,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.2,3.6,10,N,1007.0,29.74,0.0,0.0,100,75,1.8,35.2,9.0,5.0,1.0,9.7,15.6
Harnosand,Vasternorrlands Lan,Sweden,62.64,17.94,Europe/Stockholm,1699818740,2023-11-12 20:52,1699818300,2023-11-12 20:45,-1.0,30.2,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,12.5,20.2,330,NNW,1011.0,29.85,0.57,0.02,93,0,-7.4,18.6,3.3,2.0,1.0,21.7,35.0
Hassleholm,Skane Lan,Sweden,56.15,13.77,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,3.8,6.1,160,SSE,1007.0,29.74,0.0,0.0,100,75,4.4,39.8,10.0,6.0,1.0,4.9,7.9
Helsingborg,Skane Lan,Sweden,56.05,12.7,Europe/Copenhagen,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,3.8,6.1,80,E,1007.0,29.74,0.15,0.01,100,75,2.0,35.5,10.0,6.0,1.0,12.9,20.7
Hoganas,Skane Lan,Sweden,56.2,12.55,Europe/Stockholm,1699818783,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,3.8,6.1,80,E,1007.0,29.74,0.03,0.0,100,75,1.9,35.4,10.0,6.0,1.0,12.9,20.7
Hollviken,Skane Lan,Sweden,55.42,12.95,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,90,E,1006.0,29.71,0.02,0.0,87,0,2.2,35.9,10.0,6.0,1.0,10.9,17.6
Hudiksvall,Gavleborgs Lan,Sweden,61.73,17.11,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,0.5,33.0,0,Heavy snow,//cdn.weatherapi.com/weather/64x64/night/338.png,9.2,14.8,350,N,1010.0,29.82,0.28,0.01,97,100,-3.7,25.3,2.0,1.0,1.0,13.1,21.1
Huskvarna,Jonkopings Lan,Sweden,57.8,14.27,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,40,NE,1007.0,29.74,0.0,0.0,100,100,0.6,33.1,10.0,6.0,1.0,7.6,12.2
Jonkoping,Jonkopings Lan,Sweden,57.78,14.18,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,40,NE,1007.0,29.74,0.0,0.0,100,100,0.6,33.1,10.0,6.0,1.0,7.6,12.2
Jordbro,Stockholms Lan,Sweden,59.15,18.12,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,10.5,16.9,320,NW,1006.0,29.71,0.06,0.0,100,75,-0.6,30.9,10.0,6.0,1.0,12.6,20.3
Kalmar,Kalmar Lan,Sweden,56.67,16.37,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,4.3,6.8,310,NW,1007.0,29.74,0.0,0.0,100,100,0.5,32.9,10.0,6.0,1.0,8.2,13.1
Karlshamn,Blekinge Lan,Sweden,56.17,14.85,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,10,N,1007.0,29.74,0.0,0.0,100,0,2.4,36.3,10.0,6.0,1.0,6.7,10.8
Karlskoga,Orebro Lan,Sweden,59.33,14.52,Europe/Stockholm,1699818784,2023-11-12 20:53,1699818300,2023-11-12 20:45,1.0,33.8,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,6.9,11.2,350,N,1008.0,29.77,0.01,0.0,93,75,-1.7,29.0,10.0,6.0,1.0,6.9,11.1
Karlskrona,Blekinge Lan,Sweden,56.17,15.58,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,10,N,1007.0,29.74,0.01,0.0,100,0,1.5,34.6,10.0,6.0,1.0,9.3,14.9
Karlstad,Varmlands Lan,Sweden,59.37,13.5,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,0.0,32.0,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.1,13.0,360,N,1009.0,29.8,0.0,0.0,93,100,-4.6,23.7,10.0,6.0,1.0,13.9,22.4
Katrineholm,Sodermanlands Lan,Sweden,59.0,16.2,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,300,WNW,1007.0,29.74,0.03,0.0,93,100,-1.4,29.4,10.0,6.0,1.0,10.4,16.8
Kavlinge,Skane Lan,Sweden,55.8,13.1,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.5,4.0,80,E,1007.0,29.74,0.39,0.02,100,25,0.8,33.4,10.0,6.0,1.0,12.2,19.7
Kinna,Vastra Gotaland,Sweden,57.5,12.68,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.01,0.0,93,75,1.9,35.4,10.0,6.0,1.0,7.9,12.6
Kiruna,Norrbottens Lan,Sweden,67.85,20.22,Europe/Stockholm,1699818742,2023-11-12 20:52,1699818300,2023-11-12 20:45,-18.0,-0.4,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,2.2,3.6,10,N,1017.0,30.03,0.01,0.0,84,60,-23.0,-9.4,0.4,0.0,1.0,8.5,13.6
Klippansbruk,Skane Lan,Sweden,56.12,13.15,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,2.5,4.0,80,E,1007.0,29.74,0.45,0.02,100,25,2.1,35.7,10.0,6.0,1.0,7.6,12.2
Koping,Vastmanlands Lan,Sweden,59.52,16.0,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,11.9,19.1,350,N,1008.0,29.77,0.03,0.0,87,100,-1.4,29.6,10.0,6.0,1.0,10.7,17.2
Kristianstad,Skane Lan,Sweden,56.03,14.13,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,3.8,6.1,160,SSE,1007.0,29.74,0.03,0.0,100,75,4.2,39.6,10.0,6.0,1.0,5.2,8.3
Kristinehamn,Varmlands Lan,Sweden,59.33,14.12,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,0.0,32.0,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.1,13.0,360,N,1009.0,29.8,0.0,0.0,93,100,-3.5,25.7,10.0,6.0,1.0,10.0,16.2
Kumla,Orebro Lan,Sweden,59.13,15.13,Europe/Stockholm,1699818742,2023-11-12 20:52,1699818300,2023-11-12 20:45,1.0,33.8,0,Light snow,//cdn.weatherapi.com/weather/64x64/night/326.png,6.9,11.2,350,N,1008.0,29.77,0.01,0.0,93,75,-1.7,29.0,10.0,6.0,1.0,7.1,11.4
Kungalv,Vastra Gotaland,Sweden,57.87,11.97,Europe/Stockholm,1699818785,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,6.9,11.2,50,NE,1008.0,29.77,0.0,0.0,93,100,2.3,36.1,10.0,6.0,1.0,11.9,19.2
Kungsangen,Vastmanlands Lan,Sweden,59.48,16.0,Europe/Stockholm,1699818787,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,11.9,19.1,350,N,1008.0,29.77,0.03,0.0,87,100,-1.4,29.6,10.0,6.0,1.0,10.7,17.2
Kungsbacka,Hallands Lan,Sweden,57.48,12.07,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.0,0.0,93,75,1.2,34.2,10.0,6.0,1.0,11.5,18.6
Landskrona,Skane Lan,Sweden,55.87,12.83,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,6.0,42.8,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,5.6,9.0,90,E,1007.0,29.74,0.27,0.01,87,100,3.0,37.3,10.0,6.0,1.0,13.3,21.3
Lerum,Vastra Gotaland,Sweden,57.77,12.27,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.0,0.0,93,75,2.0,35.6,10.0,6.0,1.0,8.4,13.5
Lidingo,Stockholms Lan,Sweden,59.37,18.13,Europe/Stockholm,1699818787,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,10.5,16.9,320,NW,1006.0,29.71,0.04,0.0,100,75,-0.8,30.6,10.0,6.0,1.0,13.7,22.1
Lidkoping,Vastra Gotaland,Sweden,58.5,13.17,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,5.6,9.0,50,NE,1008.0,29.77,0.0,0.0,93,100,1.7,35.1,10.0,6.0,1.0,9.1,14.7
Lindesberg,Sodermanlands Lan,Sweden,59.08,17.18,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,2.0,35.6,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,8.1,13.0,320,NW,1006.0,29.71,0.01,0.0,93,75,-1.4,29.6,10.0,6.0,1.0,10.8,17.4
Lindome,Hallands Lan,Sweden,57.57,12.08,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,4.0,39.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,5.6,9.0,40,NE,1007.0,29.74,0.0,0.0,93,75,1.2,34.2,10.0,6.0,1.0,11.5,18.6
Linkoping,Ostergotlands Lan,Sweden,58.42,15.62,Europe/Stockholm,1699818786,2023-11-12 20:53,1699818300,2023-11-12 20:45,1.0,33.8,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,8.1,13.0,330,NNW,1008.0,29.77,0.0,0.0,93,100,-1.9,28.7,10.0,6.0,1.0,7.8,12.6
Ljungby,Kronobergs Lan,Sweden,56.83,13.93,Europe/Stockholm,1699818787,2023-11-12 20:53,1699818300,2023-11-12 20:45,3.0,37.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,2.2,3.6,10,N,1007.0,29.74,0.02,0.0,100,100,1.5,34.7,10.0,6.0,1.0,5.6,9.1
Lomma,Skane Lan,Sweden,55.68,13.08,Europe/Stockholm,1699818787,2023-11-12 20:53,1699818300,2023-11-12 20:45,5.0,41.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.3,6.8,90,E,1006.0,29.71,0.18,0.01,87,0,1.8,35.2,10.0,6.0,1.0,13.6,22.0
Ludvika,Dalarnas Lan,Sweden,60.15,15.18,Europe/Stockholm,1699818787,2023-11-12 20:53,1699818300,2023-11-12 20:45,-1.0,30.2,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,9.4,15.1,310,NW,1008.0,29.77,0.0,0.0,93,100,-4.4,24.0,10.0,6.0,1.0,7.7,12.4
Lulea,Norrbottens Lan,Sweden,65.58,22.15,Europe/Stockholm,1699818787,2023-11-12 20:53,1699818300,2023-11-12 20:45,-8.0,17.6,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,8.1,13.0,10,N,1017.0,30.03,0.01,0.0,92,75,-17.1,1.2,10.0,6.0,1.0,25.5,41.0
